Time,Mass,P1,P2
0.446,763,644,33.313
0.445,761,644,33.313
0.445,761,644,33.313
0.445,761,644,33.313
0.447,761,644,33.313
0.446,761,644,33.5
0.445,762,644,33.5
0.445,762,644,33.5
0.446,762,644,33.438
0.446,762,644,33.438
0.444,763,644,33.438
0.444,763,644,33.438
0.445,763,644,33.438
0.444,763,644,33.438
0.446,763,644,33.438
0.446,763,644,33.438
0.444,763,644,33.438
0.445,763,644,33.438
0.445,763,644,33.438
0.445,763,644,33.438
0.445,763,644,33.438
0.445,763,644,33.438
0.445,763,644,33.438
0.444,763,644,33.438
0.444,763,644,33.438
0.445,763,644,33.438
0.445,763,644,33.438
0.445,763,644,33.438
0.444,763,644,33.438
0.444,763,644,33.438
0.444,763,644,33.438
0.445,763,644,33.438
0.445,763,644,33.375
0.445,763,644,33.375
0.444,763,644,33.375
0.444,763,644,33.375
0.445,763,644,33.375
0.443,763,644,33.375
0.444,763,644,33.375
0.445,763,644,33.375
0.445,763,644,33.375
0.444,763,644,33.375
0.444,763,644,33.375
0.445,763,644,33.375
0.445,763,644,33.375
0.446,763,644,33.375
0.446,763,644,33.375
0.446,763,644,33.375
0.447,763,644,33.375
0.446,763,644,33.375
0.447,763,644,33.375
0.447,763,644,33.375
0.448,763,644,33.375
0.447,763,644,33.375
0.447,763,644,33.375
0.448,763,644,33.375
0.448,763,644,33.375
0.447,763,644,33.375
0.447,763,644,33.375
0.447,764,644,33.375
0.447,764,644,33.375
0.446,763,644,33.375
0.447,764,644,33.375
0.447,764,644,33.375
0.447,764,644,33.375
0.445,764,644,33.375
0.445,764,644,33.375
0.445,764,644,33.375
0.445,764,644,33.375
0.445,764,644,33.375
0.445,764,644,33.375
0.444,764,644,33.375
0.443,764,644,33.375
0.445,764,644,33.375
0.444,764,644,33.375
0.443,764,644,33.375
0.443,764,644,33.375
0.443,764,644,33.375
0.445,764,644,33.375
0.445,764,644,33.375
0.444,764,644,33.375
0.443,764,644,33.375
0.444,764,644,33.375
0.445,764,644,33.375
0.444,764,644,33.375
0.444,764,644,33.375
0.444,764,644,33.375
0.443,764,644,33.375
0.443,764,644,33.375
0.441,764,644,33.375
0.442,764,644,33.375
0.443,764,644,33.375
0.445,764,644,33.375
0.444,764,644,33.375
0.444,764,644,33.375
0.442,764,644,33.375
0.442,764,644,33.375
0.441,764,644,33.375
0.442,764,644,33.25
0.441,764,644,33.25
0.441,764,644,33.25
0.441,764,644,33.25
0.441,764,644,33.25
0.442,764,644,33.25
0.442,764,644,33.25
0.442,764,644,33.25
0.442,764,644,33.25
0.443,764,644,33.25
0.442,764,644,33.25
0.441,764,644,33.25
0.441,764,644,33.25
0.441,765,644,33.25
0.442,764,644,33.25
0.441,765,644,33.25
0.441,765,644,33.25
0.441,765,644,33.313
0.442,765,644,33.313
0.442,765,644,33.313
0.441,765,644,33.313
0.44,765,644,33.313
0.44,765,644,33.313
0.441,765,644,33.313
0.441,765,644,33.188
0.441,765,644,33.188
0.441,765,644,33.188
0.441,765,644,33.25
0.442,765,644,33.25
0.44,765,644,33.25
0.439,765,644,33.25
0.44,765,644,33.25
0.442,765,644,33.25
0.441,765,644,33.25
0.439,765,644,33.313
0.44,765,644,33.313
0.439,765,644,33.313
0.439,765,644,33.313
0.439,765,644,33.313
0.439,765,644,33.313
0.44,765,644,33.313
0.44,765,644,33.313
0.439,765,644,33.313
0.44,765,644,33.313
0.441,765,644,33.313
0.441,765,644,33.313
0.439,765,644,33.313
0.438,765,644,33.313
0.439,766,644,33.313
0.439,765,644,33.313
0.439,765,644,33.313
0.441,765,644,33.313
0.441,765,644,33.313
0.441,765,644,33.313
0.44,766,644,33.313
0.44,766,644,33.313
0.44,766,644,33.313
0.439,766,644,33.313
0.439,766,644,33.313
0.441,766,644,33.313
0.442,766,644,33.313
0.44,766,644,33.313
0.439,766,643,33.313
0.439,766,643,33.313
0.44,766,643,33.313
0.439,766,644,33.313
0.438,766,644,33.313
0.439,766,644,33.313
0.439,766,644,33.313
0.44,766,644,33.313
0.44,766,644,33.313
0.44,766,644,33.313
0.439,766,644,33.313
0.439,766,644,33.313
0.439,766,644,33.313
0.439,766,644,33.313
0.439,766,644,33.313
0.439,766,644,33.313
0.44,766,644,33.313
0.439,766,643,33.313
0.439,766,643,33.313
0.44,766,644,33.313
0.44,766,644,33.313
0.44,766,643,33.313
0.44,767,644,33.313
0.44,766,644,33.313
0.439,766,644,33.313
0.439,766,644,33.313
0.439,767,643,33.313
0.439,766,644,33.313
